destinationAirport,cheapestFare,cheapestAirline,averageFare
OAK,463.58,Spirit Airlines,704.4265
LGA,193.99,Frontier Airlines,280.8139622641511
BOS,248.6,Delta,306.6237837837838
DEN,133.98,Frontier Airlines,304.92914285714284
CLT,387.6,American Airlines,440.7908695652175
MIA,178.6,American Airlines,380.6789285714286
DFW,168.59,Spirit Airlines,241.89400000000003
SFO,307.6,Alaska Airlines,676.965
ORD,149.6,American Airlines,327.1364516129033
LAX,239.6,Frontier Airlines,517.1939393939396
JFK,198.6,JetBlue Airways,379.6449999999999
