destinationAirport,cheapestFare,cheapestAirline,averageFare
OAK,435.1,Delta,664.2222222222223
LGA,210.1,United,302.17111111111126
BOS,97.1,American Airlines,132.42378378378373
DEN,172.48,Frontier Airlines,363.6220000000001
MIA,210.1,American Airlines,361.19045454545454
DFW,243.1,American Airlines,279.5140384615387
SFO,344.1,American Airlines,656.0031111111111
ATL,336.1,American Airlines,407.57129032258086
ORD,201.1,American Airlines,226.54755555555568
LAX,188.49,Frontier Airlines,410.7653947368417
JFK,210.1,American Airlines,375.2959375000002
