destinationAirport,cheapestFare,cheapestAirline,averageFare
OAK,123.98,Frontier Airlines,564.1175000000001
LGA,208.61,JetBlue Airways,272.31750000000005
BOS,313.6,JetBlue Airways,331.8460344827588
CLT,296.61,American Airlines,360.8904166666667
MIA,311.58,Spirit Airlines,430.0105882352943
DFW,192.99,Frontier Airlines,429.5686956521741
SFO,163.98,Frontier Airlines,451.5579166666668
ATL,214.58,Spirit Airlines,320.59388888888884
ORD,244.6,United,516.1316129032259
LAX,153.99,Frontier Airlines,363.8941860465117
JFK,208.61,Delta,494.5000000000002
