destinationAirport,cheapestFare,cheapestAirline,averageFare
OAK,348.61,Delta,676.3650000000001
LGA,183.6,American Airlines,241.3535849056605
BOS,252.61,American Airlines,316.1083333333335
DEN,164.39,Frontier Airlines,398.2087500000001
CLT,244.6,American Airlines,509.9100000000001
MIA,284.58,Spirit Airlines,457.796
SFO,297.6,American Airlines,638.2942105263159
ATL,166.98,Frontier Airlines,268.96074074074085
ORD,244.6,United,561.38
LAX,264.09,Frontier Airlines,389.86489795918385
JFK,183.6,JetBlue Airways,378.67058823529413
