destinationAirport,cheapestFare,cheapestAirline,averageFare
OAK,367.6,Delta,636.4445000000001
LGA,190.59,Spirit Airlines,224.7145833333335
BOS,132.61,United,182.74
DEN,200.58,Spirit Airlines,365.0887500000002
CLT,190.6,American Airlines,392.1557142857145
MIA,173.6,United,379.92903225806475
DFW,238.58,Spirit Airlines,352.52796610169486
SFO,369.1,American Airlines,597.0207500000001
ATL,165.59,Spirit Airlines,483.5567948717947
ORD,181.6,Delta,186.74999999999994
LAX,278.59,Spirit Airlines,590.6398507462686
